law_id,law_name,version,chapter,article_no,article_title,article_text,keywords,scene_tags,priority,is_mandatory,status,source_file,notes,remove_reason
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,3 供用电设施的设计、施工、验收,3.1,供用电设施的设计,3.1 供用电设施的设计,供用电设施的设计,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,8 供用电系统图、平面布置图。,3.2,供用电设施的施工,3.2 供用电设施的施工,供用电设施的施工,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,5 安全用电及防火措施。,3.3,供用电设施的验收,3.3 供用电设施的验收,供用电设施的验收,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,6 配 电 设 施,6.1,一 般 规 定,6.1 一 般 规 定,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,3 其他用电设备：当无特殊规定时宜为±5%额定电压。,6.2,配 电 室,6.2 配 电 室,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,4 导线压接应可靠，且防松垫圈等零件应齐全，不伤线芯，不,6.3,配 电 箱,6.3 配 电 箱,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,4 上述标识色不应混用。,6.3.17,配电箱应按下列顺序操作：,6.3.17 配电箱应按下列顺序操作：,配电箱,临时用电,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,2 停电操作顺序为：末级配电箱→分配电箱→总配电箱。,6.4,开关电器的选择,6.4 开关电器的选择,开关电器的选择,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,7 配 电 线 路,7.1,一 般 规 定,7.1 一 般 规 定,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,4 不应接触潮湿地面或接近热源。,7.1.3,电缆选型应符合下列规定：,7.1.3 电缆选型应符合下列规定：,电缆,临时用电,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,3 低压配电系统的接地型式采用TT 系统时，单根电缆应包 含全部工作芯线和用作中性导体(N) 的芯线。,7.2,架 空 线 路,7.2 架 空 线 路,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,2 架空线路宜采用钢筋混凝土杆，钢筋混凝土杆不得有露 筋、掉块等明显缺陷。,7.2.2,电杆埋设应符合下列规定：,7.2.2 电杆埋设应符合下列规定：,"电杆埋设应符合下,列规定",通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,2 电杆组立后，回填土时应将土块打碎，每回填500mm 应 夯实一次，水坑回填前，应将坑内积水淘净；回填土后的电杆基坑 应有防沉土台，培土高度应超出地面300mm。,7.2.4,拉线的设置应符合下列规定：,7.2.4 拉线的设置应符合下列规定：,"拉线的设置应符合,下列规定",通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
CNLAW_001_GB501942,GB50194-2014 建设工程施工现场供用电安全规范,,3 电杆上的中性导体(N) 应靠近电杆。若导线垂直排列时， 中性导体(N) 应在下方。中性导体(N) 的位置不应高于同一回路 的相导体。在同一地区内，中性导体(N) 的排列应统一。,7.3,直 埋 线 路,7.3 直 埋 线 路,安全生产,通用,2,是,现行,GB50194-2014 建设工程施工现场供用电安全规范.docx,,too_short_lt_20
