source_file,issue_type,line_text,hint
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,UDC,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中华人民共和国国家标准,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,P GB 50194-2014,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,建设工程施工现场供用电安全规范,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,Code for safety of power supply and consumption for construction site,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,2014-04-15 发布 2015-01-01 实施,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中华人民共和国住房和城乡建设部 中华人民共和国国家质量监督检验检疫总局,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,联合发布,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中华人民共和国国家标准,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,建设工程施工现场供用电安全规范,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,Code for safety of power supply and consumption for construction site,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,GB 50194-2014,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,主 编 部 门 ： 中 国 电 力 企 业 联 合 会,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,批准部门：中华人民共和国住房城乡建设部,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,施行日期：2 0 15 年 1 月 1 日,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中国计划出版社,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,2014 北 京,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中华人民共和国国家标准,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,建设工程施工现场供用电安全规范,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,GB 50194-2014,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,☆,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中国计划出版社出版,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,网址：www.jhpress.com,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,地址：北京市西城区木樨地北里甲11号国宏大厦C 座3层,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,邮政编码：100038 电话：(010)63906433(发行部),未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,新华书店北京发行所发行,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,三河富华印刷包装有限公司印刷,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,850mm×1168mm 1/32 2.625 印张65千字,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,2014年10月第1版 2014年10月第1次印刷,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,☆,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,统一书号：1580242 ·368,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,定价：16.00元,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,版权所有 侵权必究,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,侵权举报电话：(010)63906404,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,如有印装质量问题，请寄本社出版部调换,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,中华人民共和国住房和城乡建设部公告,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,第 4 0 6 号,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,住房城乡建设部关于发布国家标准,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,《建设工程施工现场供用电安全规范》的公告,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,"现批准《建设工程施工现场供用电安全规范》为国家标准， 编号为GB 50194—2014, 自2015年1月1日起实施。其中，第",未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,本规范中以黑体字标志的条文为强制性条文，必须严格执行。 本规范由住房城乡建设部负责管理和对强制性条文的解释，,未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,"由中国电力企业联合会负责日常管理，由中国电力企业联合会负 责具体技术内容的解释。执行过程中如有意见或建议，请寄送中 国电力企业联合会(地址：北京市西城区白广路二条1号，邮政编 码：100761),以便今后修订时参考。",未挂接到任何条号，可能是前言/目录/格式异常。
GB50194-2014 建设工程施工现场供用电安全规范.docx,unattached_text,本规范主编单位、参编单位、主要起草人和主要审查人：,未挂接到任何条号，可能是前言/目录/格式异常。
